     ID,X,Y
577,24.1,24.7
578,42.6,23.6
579,24.2,23.4
580,26.3,23.7
581,28,23
582,25.7,22.6
583,59.4,22.4
584,13,22.6
585,21.1,22.1
586,41.5,22.6
587,21.2,21.3
588,52.2,21.2
589,18.4,21
590,27.8,21.1
591,21.5,20.2
592,19.7,20
593,33.8,19
594,11.8,19.3
595,33,18.9
596,34.5,19.2
597,44.6,18.5
598,19.2,19
599,42.6,17.9
600,32.3,18
601,24.1,18
602,15.2,17.7
603,43.8,16.8
604,40.1,16.3
605,14.2,16.5
606,13.2,16.4
607,52.6,15.8
608,54.5,15.8
609,51.6,15.3
610,14.8,15.7
611,39.6,15.3
612,50.9,14.5
613,28.7,14
614,53.4,13.9
615,21.1,13.9
616,19.4,13.6
617,26.8,13.3
618,21.1,12.6
619,25.1,12.6
620,14.5,12.9
621,18.6,12.1
622,34,11.4
623,33,11.4
624,29.6,11.4
625,26.9,11.1
626,32.4,11
627,52.3,10.9
628,47,10.7
629,24.8,10.5
630,21.6,10.7
631,49,10.4
632,36.9,10.6
633,20.3,9.8
634,53.7,10
635,37.4,10.1
636,34.9,9.5
637,14.6,8.6
638,43.5,7.7
639,29,7.9
640,13.2,7.6
641,18.7,7.1
642,28.9,6.2
643,34.1,5.6
644,21.2,5.4
645,13.8,5.1
646,33.5,4.6
647,33.9,4.7
648,28.7,4.5
649,16.7,4.4
650,29.7,4.5
651,21.7,4.1
652,30.3,4
653,23.9,3.8
654,16.6,3.8
655,31.7,3.9
656,30.2,1.3
657,18.6,1.4
658,40.7,0.5
659,27.7,31.1
660,29,29.4
661,24.8,28.6
662,27.5,28.6
663,35,28
664,32.4,28.2
665,22.1,27.3
666,32.6,27
667,13.2,27
668,28.4,27
669,34.4,26.8
670,35.8,26.4
671,15.5,25.9
672,48.8,25.5
673,16.4,24.9
674,39.1,24.7
675,33.5,24.9
676,12.7,25
677,26.4,24.7
678,18.2,24.7
679,45.4,24.6
680,33.1,24.2
681,24.7,24.3
682,30.1,24.5
683,23.3,23.8
684,15.7,24.2
685,29,24.3
686,19,23.9
687,15,23.6
688,37.9,23.9
689,16.1,23.6
690,54.8,22.7
691,22.1,22.8
692,11.3,22.4
693,19.2,22.4
694,58.7,22.6
695,25.1,22.4
696,20,22.3
697,23.4,22.3
698,40.8,21.9
699,22.6,21.7
700,24.1,21.8
701,19.4,21.4
702,16,21.9
703,13.4,21.6
704,12.5,21.3
705,24.2,21.1
706,22.2,21.1
707,10.7,20.9
708,33.2,21
709,13.7,21.1
710,56.4,21
711,32.1,20.4
712,42.3,20.5
713,36.6,20.6
714,29.8,20.2
715,42.9,19.5
716,10.8,19.1
717,28.6,18.9
718,38.7,19.3
719,24.9,19.4
720,20.7,18.8
721,26.2,18.5
722,13.8,18.4
723,10.3,18.5
724,57.9,18.5
725,20.8,17.9
726,17.7,18.1
727,34.6,17.5
728,16.2,17.6
729,13.9,17.6
730,18.3,17.4
731,45.4,17.1
732,24.6,17.2
733,20.6,17.1
734,35.2,16.5
735,21.3,16.9
736,48,16.5
737,27.8,16
738,36.3,16.1
739,21.3,16
740,54,15.7
741,15.5,15.5
742,12.6,15.6
743,18.4,15.2
744,48.9,15
745,47,15.2
746,50.4,14.8
747,42.8,14.8
748,24.4,15
749,20.9,14.9
750,56.9,14.6
751,57.8,14.9
752,22.9,14.4
753,33.8,14.6
754,11.1,14.3
755,45.1,14.1
756,50.6,13.9
757,21.6,13.5
758,23.3,13.5
759,13.6,13.1
760,42.6,12.8
761,45.1,12.6
762,20.3,12.7
763,56.2,12.5
764,28.2,12.5
765,24.3,12.9
766,23.4,12.6
767,40.7,12.2
768,41.9,12.1
769,48.2,11.7
770,47.2,11.3
771,22.7,11.1
772,23.9,11
773,55.3,11
774,18.9,10.4
775,27.9,10.3
776,58,10.6
777,17.5,10.1
778,27,9.8
779,22.4,9
780,25.8,9
781,15.3,9.6
782,21.8,8.7
783,25.1,8.9
784,16.3,8.2
785,15.8,8.4
786,27.4,7.7
787,53,7.5
788,15.6,7.5
789,33.3,7.1
790,22.2,7.3
791,13.2,6.9
792,27.7,6.7
793,15.9,6.8
794,15,6.8
795,13.8,6.5
796,34.7,6.3
797,23.3,6.1
798,20.1,5.8
799,22.3,5.7
800,30.7,5.3
801,16.9,4.9
802,23.7,4.6
803,37,2.8
804,17.3,2.2
805,20.2,2
806,20,0.9
807,21,0.4
808,26.1,1.2
809,15.2,3.4
810,27.2,7.1
811,24.2,20.3
812,45.7,21.4
813,20.6,25.1
814,22.9,11.8
815,59.2,12.7
816,17,14.8
817,25,16.8
818,17.5,19.5
819,18.7,27.2
820,33.2,2.3
821,16.8,17.2
822,45,25.2
823,50.1,20.6
824,24.1,7.5
825,23.3,20.4
826,44.8,19.8
827,27.7,19.2
828,13.9,17.1
829,44.3,16
830,30.5,27.4
831,29.8,22.5
832,26.7,20.8
833,28.3,20.1
834,20.2,19.4
835,30.1,18.1
836,24,17
837,26.3,1.9
838,30.7,0.8
839,36.2,17.3
840,23.2,19.2
841,25.7,4.8
842,13,5.3
843,31.3,18.4
